node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AIPL1	GUCA1A	9606.ENSP00000370521	9606.ENSP00000053469	0	0	0	0	0.092	0.053	0	0.757	0.773
AIPL1	RCVRN	9606.ENSP00000370521	9606.ENSP00000226193	0	0	0	0	0.139	0.053	0	0.588	0.635
AIPL1	GNAT1	9606.ENSP00000370521	9606.ENSP00000232461	0	0	0	0	0.175	0.071	0	0.488	0.573
AIPL1	GNGT1	9606.ENSP00000370521	9606.ENSP00000248572	0	0	0	0	0.136	0	0	0.457	0.511
AIPL1	PDE6A	9606.ENSP00000370521	9606.ENSP00000255266	0	0	0	0	0.128	0.046	0	0.675	0.706
AIPL1	ROM1	9606.ENSP00000370521	9606.ENSP00000278833	0	0	0	0	0.076	0	0	0.582	0.597
AIPL1	RHO	9606.ENSP00000370521	9606.ENSP00000296271	0	0	0	0	0.198	0	0	0.635	0.695
AIPL1	HSP90AA1	9606.ENSP00000370521	9606.ENSP00000335153	0	0	0	0	0	0.439	0	0.773	0.867
AIPL1	UNC119	9606.ENSP00000370521	9606.ENSP00000337040	0	0	0	0	0	0	0	0.755	0.755
AIPL1	CNGA1	9606.ENSP00000370521	9606.ENSP00000384264	0	0	0	0	0.060	0	0	0.512	0.521
AIPL1	NRL	9606.ENSP00000370521	9606.ENSP00000454062	0	0	0	0	0.074	0	0	0.575	0.589
AIPL1	NR2E3	9606.ENSP00000370521	9606.ENSP00000482504	0	0	0	0	0.106	0	0	0.595	0.622
APOE	CRYAB	9606.ENSP00000252486	9606.ENSP00000433560	0	0	0	0	0.097	0	0	0.494	0.523
APOE	JUN	9606.ENSP00000252486	9606.ENSP00000360266	0	0	0	0	0.047	0	0	0.543	0.545
APOE	TF	9606.ENSP00000252486	9606.ENSP00000385834	0	0	0	0	0.162	0	0	0.574	0.627
APOE	GAPDH	9606.ENSP00000252486	9606.ENSP00000380070	0	0	0	0	0.130	0	0	0.598	0.636
APOE	CP	9606.ENSP00000252486	9606.ENSP00000264613	0	0	0	0	0.072	0	0	0.637	0.648
APOE	CD81	9606.ENSP00000252486	9606.ENSP00000263645	0	0	0	0	0.110	0.070	0	0.626	0.663
APOE	ITM2B	9606.ENSP00000252486	9606.ENSP00000497221	0	0	0	0	0.101	0	0.500	0.319	0.667
APOE	GPX3	9606.ENSP00000252486	9606.ENSP00000373477	0	0	0	0	0.145	0	0	0.681	0.715
APOE	MAPT	9606.ENSP00000252486	9606.ENSP00000340820	0	0	0	0	0.044	0.701	0	0.973	0.991
APOE	CLU	9606.ENSP00000252486	9606.ENSP00000315130	0	0	0	0	0.241	0	0.720	0.997	0.999
CADM1	VIM	9606.ENSP00000329797	9606.ENSP00000446007	0	0	0	0	0.055	0.124	0	0.481	0.533
CADPS	RCVRN	9606.ENSP00000373215	9606.ENSP00000226193	0	0	0	0	0.043	0	0	0.542	0.542
CADPS	UNC119	9606.ENSP00000373215	9606.ENSP00000337040	0	0	0	0	0	0	0	0.521	0.521
CALM1	DST	9606.ENSP00000499717	9606.ENSP00000307959	0	0	0	0	0.052	0.429	0	0.639	0.788
CALM1	HSP90AA1	9606.ENSP00000499717	9606.ENSP00000335153	0	0	0	0	0.086	0.314	0.500	0.331	0.762
CALM1	MAPT	9606.ENSP00000499717	9606.ENSP00000340820	0	0	0	0	0.044	0.523	0	0.538	0.771
CALM1	HSPA1A	9606.ENSP00000499717	9606.ENSP00000364802	0	0	0	0	0.061	0.120	0	0.472	0.526
CALM1	CAMK2B	9606.ENSP00000499717	9606.ENSP00000379098	0	0	0	0	0.061	0.952	0.800	0.360	0.993
CALM1	CNGA1	9606.ENSP00000499717	9606.ENSP00000384264	0	0	0	0	0	0	0.500	0.121	0.541
CALM1	UBC	9606.ENSP00000499717	9606.ENSP00000441543	0	0	0	0	0.080	0.583	0	0.155	0.647
CALM1	MYL6	9606.ENSP00000499717	9606.ENSP00000446955	0	0	0.073	0.910	0.065	0.325	0.500	0.053	0.673
CALM1	CALM2	9606.ENSP00000499717	9606.ENSP00000499797	0	0	0.048	0.985	0.082	0.917	0	0.260	0.939
CALM2	DST	9606.ENSP00000499797	9606.ENSP00000307959	0	0	0	0	0.072	0.227	0	0.439	0.563
CALM2	JUN	9606.ENSP00000499797	9606.ENSP00000360266	0	0	0	0	0.042	0	0	0.516	0.516
CALM2	HSPA1A	9606.ENSP00000499797	9606.ENSP00000364802	0	0	0	0	0.086	0.120	0	0.472	0.538
CALM2	CAMK2B	9606.ENSP00000499797	9606.ENSP00000379098	0	0	0	0	0.056	0.952	0	0.369	0.969
CALM2	RPL37A	9606.ENSP00000499797	9606.ENSP00000418082	0	0	0	0	0.086	0	0	0.567	0.587
CAMK2B	SYT1	9606.ENSP00000379098	9606.ENSP00000261205	0	0	0	0	0.124	0	0	0.496	0.539
CAMK2B	MAPT	9606.ENSP00000379098	9606.ENSP00000340820	0	0	0	0	0.223	0.108	0.900	0.204	0.937
CD81	GNB1	9606.ENSP00000263645	9606.ENSP00000367872	0	0	0	0	0.174	0.430	0	0.068	0.522
CD81	GAPDH	9606.ENSP00000263645	9606.ENSP00000380070	0	0	0	0	0.066	0.054	0	0.741	0.752
CD81	HSP90AA1	9606.ENSP00000263645	9606.ENSP00000335153	0	0	0	0	0.054	0	0	0.824	0.826
CD81	CD9	9606.ENSP00000263645	9606.ENSP00000371958	0	0	0.058	0.923	0.058	0.837	0	0.987	0.997
CD9	HSP90AA1	9606.ENSP00000371958	9606.ENSP00000335153	0	0	0	0	0.042	0	0	0.871	0.871
CD9	VIM	9606.ENSP00000371958	9606.ENSP00000446007	0	0	0	0	0.061	0	0	0.529	0.539
CD9	GAPDH	9606.ENSP00000371958	9606.ENSP00000380070	0	0	0	0	0.055	0	0	0.670	0.675
CLU	CP	9606.ENSP00000315130	9606.ENSP00000264613	0	0	0	0	0.184	0.226	0	0.700	0.794
CLU	FOS	9606.ENSP00000315130	9606.ENSP00000306245	0	0	0	0	0.042	0.140	0	0.586	0.629
CLU	UBC	9606.ENSP00000315130	9606.ENSP00000441543	0	0	0	0	0.082	0.292	0	0.316	0.516
